task_id,created_at,cost_usd,message_count,read_files_count,tools_used,first_prompt
1784209573577,N/A,0.0,675,55,"search_files, read_file, plan_mode_respond, execute_command, act_mode_respond, attempt_completion, write_to_file, replace_in_file, list_files",<task> Nous devons terminer l'intégration du moteur OCR avec PaddleOCR pour mon application d'apprentissage de textes th
1784534505950,N/A,0.0,24,4,"execute_command, attempt_completion, replace_in_file, read_file",<task> Mission : Amélioration UX et Optimisation Post-OCR (V1 Tesseract). Tu disposes maintenant d'une grande capacité d
1784535139663,N/A,0.0,18,1,"search_files, read_file, execute_command, attempt_completion, replace_in_file","<task> Mission : Correction du déclencheur de la Modale dans Upload.jsx La modale des personnages a bien été créée, mais"
1784535477795,N/A,0.0,14,1,"execute_command, attempt_completion, replace_in_file, read_file","<task> Mission : Débogage visuel de la Modale dans Upload.jsx La logique d'état a été corrigée, mais la modale n'apparaî"
1784544813343,N/A,0.0,28,3,"execute_command, attempt_completion, replace_in_file, read_file","<task> Mission : Fix Tesseract crash ""Image too small to scale"" Lors de l'extraction OCR, Tesseract plante avec l'erreur"
1784548806047,N/A,0.0,24,3,"search_files, read_file, execute_command, attempt_completion, replace_in_file",<task> Mission : Correction du cycle de vie du fichier et du déclenchement du scan dans Upload.jsx Le scan OCR ne foncti
1784549728536,N/A,0.0,32,3,"search_files, read_file, execute_command, act_mode_respond, attempt_completion, replace_in_file",<task> Mission : Optimisation de performance et filtre anti-poussière dans pdfProcessor.js La modale transmet correcteme
1784558968998,N/A,0.0,72,18,"search_files, read_file, plan_mode_respond, execute_command, attempt_completion, ask_followup_question, write_to_file, replace_in_file",<task> __Résumé de l'état d'avancement (CharacterResolver) :__  - __Fichiers modifiés :__ `src/lib/scriptParser.js` (uni
1784562305824,N/A,0.0,18,2,"execute_command, attempt_completion, replace_in_file, read_file",<task> Correctif : Contourner l'erreur 413 (Payload Too Large) de Vercel  Le proxy serveur api/gemini-pdf-proxy.js bloqu
1784562612638,N/A,0.0,12,1,"execute_command, attempt_completion, replace_in_file, read_file",<task> Correctif : Changer le modèle Gemini obsolète dans le code  L'API Google AI Studio refuse le modèle gemini-2.5-fl
